,rmse,nrmse,r_squared
n=101,2.1709561046051764,3.046226509830644,0.7081145258032988
n=201,1.2229835841733698,1.7576956687951137,0.9070075583955339
n=301,0.7203454807002844,1.043892474597278,0.9676940899667263
n=401,0.566337119715798,0.8241560132916584,0.9800173646231006
n=501,0.4226577421901349,0.616627025493274,0.9888656835518105
